What is the Oracle Autonomous Database?,"Oracle Autonomous Database is the world’s first autonomous data management in the cloud to deliver automated patching, upgrades, and tuning—including performing all routine database maintenance tasks while the system is running - without human intervention. This new autonomous database cloud is self-managing, self-securing, and self-repairing, which helps to eliminate manual database management and human errors.The Oracle Autonomous Database is fully elastic: You simply specify the number of OCPUs and the storage capacity in TB's for the database. At any time, you may scale up or down the OCPUs or the storage capacity.Autonomous Database supports four main types of workload:Click here for more information.<https://docs.oracle.com/en/cloud/paas/autonomous-data-warehouse-cloud/user/autonomous-add-resources.html#GUID-DA72422A-5A70-42FA-A363-AB269600D4B0>"
What is the difference between Dedicated vs. Severless deployments?,"Serverless: With this option, you provision and manage only the Autonomous Database, while Oracle deploys and manages all the underlying infrastructure. Oracle autonomously operates all aspects of the database life cycle from database placement to backup and updates.Dedicated: this offers a private cloud in the public cloud. A completely dedicated compute, storage, network and database service for only a single tenant. This offers a multitenant database architecture, allowing you to create and manage multiple Autonomous Databases within a single database system. Autonomous Database Dedicated is also available in customer's data centers with Exadata Cloud at Customer."
Where is Oracle Autonomous Database available?,The full list of data centers is shown here: Oracle Cloud Data Regions for Platform and Infrastructure Services<https://www.oracle.com/cloud/data-regions.html>.
"What tools, applications and services can I use with Oracle Autonomous Database?","In some cases, tools, applications and services etc. have been extended specifically for Autonomous Database. In general, tools etc. that are certified with Oracle Database should work successfully against Autonomous Database, whether the tool is on the list or not. For a detailed list of tools, applications and services etc. that work with Autonomous Database, click here<https://www.oracle.com/autonomous-database/tools/>."
How can I learn more about Oracle Autonomous Database?,There's plenty of material to help you get started and be successful with Autonomous Database. Click here for more information.<https://blogs.oracle.com/datawarehousing/post/welcome-to-autonomous-database-on-oracle-cloud>
What is the price of Oracle Autonomous Database?,Pricing details can be found on the Autonomous Data Warehouse<https://www.oracle.com/database/adw-cloud-pricing.html> (ADW) or Autonomous Transaction Processing<https://www.oracle.com/database/atp-cloud-pricing.html> (ATP) page of oracle.com.
What are the provisioning options for Oracle Autonomous Database?,"You can provision a License-included version of ADB, or you can provision a Bring-Your-Own-License (BYOL) instance. If you wish to use BYOL, then you must apply current database licenses to your ADB service. The BYOL requirements for ATP are described on ATP's pricing page<https://www.oracle.com/autonomous-database/autonomous-transaction-processing/#pricing>. The BYOL requirements for ADW are described on ADW's pricing page<https://www.oracle.com/autonomous-database/autonomous-data-warehouse/#pricing>."
Where can I get more information licensing requirements for Oracle Autonomous Database?,This document<http://www.oracle.com/us/corporate/contracts/paas-iaas-universal-credits-3940775.pdf> describes the licensing requirements for ADB.
Does Oracle Autonomous Database support per-second billing?,"Yes, ADB does support per-second billing although certain restrictions apply. There is more information available here<https://docs.cloud.oracle.com/en-us/iaas/Content/Database/Concepts/adboverview.htm#persecondbilling>"
Can auto-scaling help reduce my bills?,"The auto scaling features within Autonomous Database provide the ability to automatically scale in real-time in response to workload. Auto scaling immediately gives 3x more CPU/IO resources with no downtime. But you only get charged only for actual usage - you only pay for those additional compute resources when they are needed, which gives you a true pay-as-you-go model. There is more information available here<https://docs.oracle.com/en/cloud/paas/autonomous-database/adbsa/autonomous-auto-scale.html#GUID-27FAB1C1-B09F-4A7A-9FB9-5CB8110F7141>"
