English,Japan
"Hello, how are you?",こんにちは元気ですか？
What is your name?,名前はなんですか？
Where are you from?,どこからきましたか？
Nice to meet you.,お会いできて嬉しいです。
How old are you?,何歳ですか？
What do you do for a living?,どんなお仕事をしていらっしゃいますか？
"Can you help me, please?",助けてもらえませんか？
"Excuse me, where is the restroom?",すみません、トイレはどこですか？
I don't understand.,理解できない。
"Could you repeat that, please?",もう一回言って頂けますか？
"Sorry, I didn't mean to offend you.",ごめんなさい、あなたを怒らせるつもりはありませんでした。
Thank you for your help.,ご協力ありがとうございました。
I love you.,愛してます。
I'm sorry.,ごめんなさい。
Please forgive me.,私を許してください。
How can I get to the train station?,どうやって駅まで行けますか?
What time is it?,今何時ですか？
Where can I find a good restaurant?,おいしいレストランはどこで見つけられますか?
"Can I have the menu, please?",メニューを頂けますか？
How much does it cost?,それはどれくらいしますか？
I need a doctor.,私は医者を必要とする。
Where is the nearest pharmacy?,最寄りの薬局はどこですか？
I'm lost. Can you help me find my way?,道に迷いました。私の道を見つけるのを手伝ってくれませんか？
Do you speak English?,英語を話せますか？
Can you recommend a good book?,良い本を勧めてもらえますか？
What is your favorite food?,好きな食べ物は何ですか？
Where do you live?,どこに住んでいますか？
What is your favorite color?,あなたの好きな色は何ですか？
I'm hungry.,お腹が空きました。
I'm thirsty.,喉が渇いた。
I'm tired.,私は疲れている。
I'm happy.,私は満足しています。
I'm sad.,私は悲しいです。
I'm excited.,私は興奮しています。
I'm bored.,私は退屈です。
I'm cold.,寒いです。
I'm hot.,暑いです。
I'm busy.,私は忙しいんだ。
"I'm sorry, but I can't make it.",申し訳ありませんが、間に合いません。
I don't know.,わからない。
I'll think about it.,考えておく。
Let's go for a walk.,散歩に行きましょう。
I need a break.,一休みしたい。
I have a question.,質問があります。
I have an idea.,考えがある。
I'm looking forward to it.,私はそれを楽しみにしています。
What are your hobbies?,あなたの趣味は何ですか?
What is your favorite movie?,あなたの好きな映画は何ですか？
"Can you pass me the salt, please?",塩を渡してくれませんか？
Where did you go on vacation?,あなたは休暇にどこへ行ったのか？
What is your favorite season?,どの季節が好きですか？
I'm not feeling well.,気分が悪い。
What's the weather like today?,今日の天気はどうですか？
I'm going to the supermarket.,スーパーに行きます。
What's your favorite music genre?,好きな音楽のジャンルは何ですか?
How was your day?,あなたの一日はどうでした？
What's your favorite sport?,あなたの好きなスポーツは何ですか？
"Can you speak slower, please?",もう少しゆっくり話してもらえますか？
What's your favorite animal?,あなたのお気に入りの動物は何ですか？
What's your favorite hobby?,あなたの好きな趣味は？
Do you have any pets?,ペットを飼っていますか？
What's your favorite TV show?,あなたの好きなテレビ番組は何ですか?
I don't have time right now.,今は時間がありません。
